"affectionate" "afraid" "agreeable" "alone" "angry" "awful" "awkward" "bad" "beautiful" "big" "bright" "busy" "certain" "charming" "cheerful" "childish" "clean" "cold" "confident" "confused" "conscientious" "cool" "curious" "dangerous" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "fine" "firm" "friendly" "generous" "gentle" "genuine" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "healthy" "important" "innocent" "kind" "liberal" "little" "lovely" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "passionate" "pathetic" "pleasant" "pleased" "polite" "poor" "powerful" "pretty" "private" "proud" "quiet" "remarkable" "respectful" "responsible" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "social" "strange" "strong" "sweet" "sympathetic" "tired" "troubled" "unhappy" "unusual" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"polite" 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 2 3 0 1 4 0 0 2 0 0 0 0 1 5 0 1 1 0 0 0 3 2 0 1 0 0 0 0 0 3 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0
"poor" 4 5 3 8 3 3 2 8 4 4 12 2 8 4 2 2 2 7 1 2 0 3 2 2 1 8 0 3 3 2 4 2 6 4 2 1 4 25 3 3 23 4 5 10 3 4 2 3 3 33 1 3 8 1 5 2 18 12 1 2 2 1 2 1 3 0 2 4 1 4 7 0 2 2 2 1 2 2 1 2 12 1 11 6 4 3 5 1 2 2 1 3 2 3 1 3 2 22 3
"powerful" 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 2 0 0 1 0 0 0 1 1 0 1 0 3 0 0 0 0 1 1 1 2 0 0 1 1 1 0 0 2 0 0 0 2 2 0 0 0 0 1 1 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0
"pretty" 1 3 0 2 1 0 1 1 1 1 2 0 2 0 1 0 0 2 1 1 2 1 0 0 1 1 0 0 2 1 1 2 0 2 2 0 1 6 1 2 4 1 2 2 0 2 1 0 0 9 2 0 1 1 1 0 5 4 0 0 0 0 1 0 0 4 0 0 0 3 2 0 2 1 1 1 0 2 2 1 1 1 2 3 1 0 1 1 2 0 0 1 0 1 1 1 0 9 1
"private" 1 0 0 1 0 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 3 0 0 0 1 0 2 0 0 5 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 1 1 0 1 0 1 3 0
"proud" 0 0 0 4 3 0 0 0 1 2 3 2 1 0 2 0 1 3 1 0 1 2 1 0 1 3 2 2 0 1 3 3 1 1 1 1 0 10 1 1 8 1 3 3 1 1 1 0 0 10 1 4 5 0 1 2 6 5 2 0 1 1 1 2 1 4 2 3 0 0 4 0 2 0 2 1 1 0 1 0 2 1 1 1 1 0 1 1 0 1 0 0 1 1 2 2 3 9 0
"quiet" 2 3 0 6 2 2 0 3 3 2 4 0 2 1 2 1 1 2 1 1 3 2 4 2 0 2 0 1 1 2 2 2 0 4 3 0 1 15 1 0 10 1 3 4 1 1 0 0 1 17 2 1 5 0 3 1 11 5 1 1 1 2 3 0 1 7 2 2 0 4 0 0 2 0 0 2 1 0 1 1 8 0 4 6 0 2 2 1 0 2 0 2 1 1 2 0 2 14 2
"remarkable" 0 0 1 2 1 0 0 1 1 0 2 0 1 0 1 1 0 1 0 0 0 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 2 7 0 0 2 1 1 0 0 0 0 1 0 6 0 0 0 0 0 0 3 3 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 1 0 0 2 1 1 0 5 0
"respectful" 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 1 2 0 0 2 0 2 0 0 1 0 0 0 4 1 1 2 0 0 0 1 2 0 1 0 0 0 0 0 2 0 2 0 2 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0
"responsible" 1 0 1 0 2 0 0 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 2 1 0 1 2 1 1 1 0 0 0 1 0 3 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 4 1
"rich" 0 0 0 0 1 0 0 0 2 2 3 1 3 0 0 1 1 2 1 0 1 1 0 0 0 0 1 0 1 1 0 0 2 0 0 1 2 6 0 0 5 2 1 1 0 0 0 0 0 4 0 1 1 0 0 1 5 1 0 1 0 0 0 2 0 2 0 1 1 2 0 1 0 0 0 0 1 1 0 0 1 0 2 1 1 0 1 1 0 1 0 3 0 0 3 1 2 3 0
"ridiculous" 2 1 0 0 1 0 1 0 0 0 1 0 1 1 0 1 0 2 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 4 1 0 1 1 0 0 0 0 1 0 0 4 1 1 0 0 3 1 1 3 0 0 1 0 0 0 0 1 1 1 1 1 2 0 0 0 0 0 1 1 1 0 1 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 1 3 0
"rough" 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 3 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 1 3 0 0 2 1 0 2 0 0 0 0 0 3 0 0 0 0 1 1 3 3 0 0 1 0 0 0 0 2 1 0 0 1 1 0 0 0 1 1 0 0 1 0 2 0 2 1 0 0 0 1 0 0 0 0 0 1 0 1 1 2 0
"satisfied" 0 0 0 1 1 0 0 0 1 1 2 0 1 0 0 0 0 2 0 0 0 2 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 3 0 1 3 0 1 1 0 0 1 0 0 4 0 1 0 1 1 0 5 2 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 1 1 1 0 0 2 1 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 3 1
"sensible" 0 1 0 1 3 0 0 0 1 0 0 0 1 0 1 0 0 2 0 1 0 1 0 1 0 2 0 1 1 0 0 2 0 2 0 0 0 6 0 0 3 0 1 1 0 1 0 0 0 6 0 0 0 2 2 1 2 1 0 0 3 0 0 0 0 1 1 2 0 1 1 0 0 1 0 1 1 2 0 2 2 0 0 2 1 0 0 0 1 0 2 2 0 0 0 0 2 7 1
"serious" 1 0 0 2 3 0 0 0 1 0 2 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 2 1 0 0 3 0 0 0 0 2 1 0 0 0 0 0 3 0 0 2 0 1 0 1 0 0 0 1 1 0 0 0 2 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 3 2
"short" 3 3 1 5 1 3 0 6 5 1 8 0 6 3 3 0 3 4 2 3 1 0 2 2 1 2 0 0 3 0 1 3 2 1 0 2 6 18 1 1 15 2 1 5 0 0 1 2 1 24 0 0 2 2 3 1 12 5 1 1 4 0 1 0 1 12 1 1 1 2 8 1 1 1 1 1 2 1 2 0 0 2 4 6 2 2 4 1 0 1 1 0 2 1 0 1 4 14 1
"social" 1 0 0 1 0 0 0 1 0 0 2 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 3 1 3 3 0 0 3 0 0 0 1 0 4 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0
"strange" 3 1 2 4 1 1 0 3 1 2 7 2 7 2 3 1 3 4 0 2 3 1 1 0 0 2 0 1 1 2 0 1 0 1 1 0 5 10 1 3 8 2 3 5 2 0 1 2 1 18 0 0 4 1 1 1 12 5 1 3 0 0 1 0 1 11 0 2 1 1 4 1 2 2 2 0 2 0 0 1 4 2 0 3 2 0 1 1 1 2 1 1 1 2 3 1 0 10 0
"strong" 2 7 2 3 2 2 0 5 4 2 6 2 6 1 3 0 1 3 0 3 3 1 1 3 1 4 0 0 0 2 0 1 3 2 1 1 2 17 1 1 8 2 0 1 1 1 1 3 1 16 2 0 0 0 2 1 9 6 2 0 2 1 1 1 1 6 2 3 2 1 6 2 0 0 1 2 1 1 2 0 6 0 3 0 2 2 1 2 1 1 2 1 0 4 1 0 2 14 1
"sweet" 0 1 1 2 1 1 1 3 1 1 0 1 5 2 0 0 0 1 1 0 0 0 1 1 1 4 1 1 0 1 0 1 0 1 0 0 1 7 1 1 5 0 1 1 0 0 1 0 2 6 1 0 1 0 1 1 6 3 0 1 1 0 1 2 1 4 0 1 0 1 0 0 0 1 1 0 0 0 1 0 2 0 2 2 0 0 0 0 1 1 0 1 0 0 0 1 1 5 0
"sympathetic" 0 3 0 1 0 0 0 2 2 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 4 0 0 4 0 0 1 1 0 0 0 0 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 3 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1
"tired" 1 1 0 0 0 0 0 0 1 2 1 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 1 3 1 2 5 1 0 2 0 0 0 0 0 5 0 1 1 1 1 0 3 3 0 0 1 0 0 0 0 5 0 1 0 1 2 0 0 0 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 3 1
"troubled" 0 0 1 1 1 0 0 1 2 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 2 0 1 0 1 3 0 0 2 1 1 1 0 0 0 0 0 4 0 0 1 0 0 0 3 1 1 0 0 1 0 0 0 1 0 1 0 1 1 2 1 0 1 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 2 1 0 0 4 0
"unhappy" 1 1 0 1 1 0 1 1 1 0 2 0 2 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 0 2 0 0 0 2 0 0 1 4 1 0 1 0 1 1 1 0 1 0 0 5 1 1 1 0 1 0 4 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 3 1
"unusual" 0 0 0 1 1 0 0 0 0 0 2 1 0 0 1 0 1 2 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 2 0 0 0 1 2 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 0 0 1 1 0 0 0 1 1 2 0
"violent" 0 1 0 2 1 0 0 1 1 0 1 1 0 0 1 0 0 2 0 2 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 4 0 0 4 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 1 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 1 3 0
"warm" 1 0 0 1 1 0 0 0 1 2 3 0 2 1 0 1 0 2 0 0 1 2 2 0 0 0 0 0 2 2 0 1 1 1 1 0 0 7 0 0 4 0 1 2 0 0 0 0 0 6 0 1 1 1 1 0 4 2 0 0 0 1 0 0 0 3 0 1 1 0 2 0 0 0 3 0 0 2 2 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 1 0 1 3 1
"weak" 2 0 0 0 0 0 1 2 0 1 2 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 5 1 0 2 0 0 1 1 0 1 0 0 4 0 0 0 0 1 0 4 1 0 0 0 1 1 0 0 2 1 0 1 1 1 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 0
"well" 1 2 1 0 1 2 0 2 1 1 1 0 2 0 2 0 0 5 0 0 1 0 0 1 0 1 0 0 0 1 1 0 2 0 0 0 2 6 0 1 3 2 1 1 0 1 0 1 0 7 1 1 1 0 1 0 5 3 1 0 0 1 1 0 0 3 0 1 0 1 1 2 0 0 0 1 1 0 0 0 1 1 2 4 0 0 1 2 0 0 0 0 0 0 0 2 0 5 1
"wise" 0 0 0 2 0 0 0 0 0 1 2 0 2 0 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 4 0 0 3 1 2 0 0 0 0 0 1 5 0 1 3 0 0 0 4 0 0 1 0 0 0 1 1 1 0 1 1 2 2 1 1 0 3 0 0 0 0 0 0 0 3 1 0 0 0 1 0 0 0 1 0 0 0 0 1 4 0
"wonderful" 0 1 0 3 1 0 1 0 0 1 2 1 3 0 0 1 0 4 2 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 6 0 0 6 1 0 1 0 0 0 0 0 3 0 1 1 0 0 1 4 2 0 0 0 0 1 1 0 3 0 1 0 2 0 1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 1 0 0 1 1 0 0 2 0 0 1 1 0
"worthy" 2 1 0 0 3 0 0 0 0 0 1 1 1 1 1 1 1 2 2 1 0 1 1 1 0 1 1 0 0 1 0 1 0 2 1 2 0 6 0 0 3 0 1 1 0 0 1 0 0 6 0 1 2 0 1 2 1 1 0 1 2 1 0 2 0 2 1 0 1 3 2 0 1 0 2 1 1 0 2 1 4 0 0 2 1 0 0 0 0 1 1 1 1 0 1 1 0 6 1
"young" 8 7 4 10 7 2 2 9 7 3 12 3 10 3 5 3 4 7 3 3 3 5 5 5 2 7 1 5 2 5 3 5 9 7 5 2 11 38 4 3 25 7 9 11 3 4 3 3 2 50 2 3 7 2 6 2 25 14 3 6 3 3 3 2 3 22 3 9 3 9 14 5 2 4 3 3 2 3 7 3 14 1 10 14 5 2 3 4 3 2 3 3 4 5 4 1 6 0 4
"youthful" 1 1 0 0 2 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 1 0 1 2 0 0 1 0 3 3 0 1 0 0 0 4 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 3 0 1 0 0 2 0 0 1 0 0 0 1 1 2 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 4 0
