"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "big" "blind" "bold" "bright" "busy" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "compassionate" "cool" "cruel" "curious" "dangerous" "decent" "devoted" "difficult" "dumb" "excellent" "exhausted" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "impatient" "independent" "innocent" "interested" "interesting" "kind" "little" "loud" "mean" "modest" "natural" "old" "open" "patient" "plain" "pleasant" "pleased" "poor" "popular" "practical" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respected" "rich" "ridiculous" "rough" "satisfied" "sensible" "sentimental" "serious" "short" "social" "strange" "strong" "surprised" "tall" "thin" "thoughtful" "tired" "troubled" "unhappy" "violent" "weak" "wonderful" "worthy" "young"
"modest" 0 2 0 2 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 3 1 1 0 0 0 1 0 1 2 0 0 1 4 0 0 0 1 2 0 0 1 1 1 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 3
"natural" 0 1 2 2 0 2 2 1 0 2 1 1 3 0 0 1 1 0 4 2 4 1 0 0 0 2 0 2 1 3 1 0 1 1 1 0 1 1 3 1 1 2 10 2 1 8 2 2 4 1 1 0 0 0 2 0 0 0 11 0 0 1 0 5 1 2 0 1 1 5 0 1 1 3 1 3 4 0 3 1 2 0 0 0 1 0 1 4 1 5 2 1 2 1 1 1 3 2 0 0 1 1 10
"old" 4 5 5 5 1 5 2 2 2 13 6 3 2 3 5 3 8 2 7 3 6 2 2 5 2 7 4 3 2 5 1 3 2 2 6 6 3 4 9 2 6 4 37 4 3 33 4 6 9 3 7 1 4 3 4 1 5 4 42 4 5 2 5 0 6 4 3 4 3 19 1 3 4 3 1 6 14 1 7 1 4 3 3 5 2 2 2 10 2 5 6 4 2 5 2 2 4 3 2 5 3 3 25
"open" 1 1 1 2 0 0 1 0 0 6 1 1 1 0 0 1 2 0 1 0 1 0 1 1 0 1 0 0 2 1 1 3 0 0 1 1 0 0 1 0 0 0 6 1 0 4 0 0 0 0 1 0 0 0 0 0 1 1 8 1 1 0 1 6 0 1 2 0 0 2 0 2 1 0 0 0 1 2 4 0 2 1 0 1 0 1 0 5 2 0 2 0 0 1 1 1 1 0 0 0 0 0 5
"patient" 0 0 0 1 0 2 0 1 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 2 0 1 2 1 0 1 1 0 1 0 3 0 5 0 0 4 0 0 1 0 1 0 0 0 1 0 0 0 7 0 0 0 2 4 1 0 0 1 1 2 0 0 0 0 0 2 3 1 1 0 1 1 1 1 0 0 1 2 0 1 1 0 1 1 1 0 1 0 1 2 0 1 4
"plain" 0 2 2 2 2 1 1 3 1 4 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 1 1 2 1 0 1 3 1 0 2 11 0 1 10 2 4 3 2 2 1 3 0 2 1 0 2 11 1 0 1 0 3 2 0 0 0 0 6 1 2 1 0 1 0 1 0 2 0 0 2 0 0 0 2 1 5 0 1 4 1 1 1 1 0 0 0 1 1 1 1 7
"pleasant" 0 3 1 1 0 1 2 1 0 3 1 0 0 2 2 0 2 1 1 0 0 0 0 2 0 0 0 0 0 2 0 1 1 0 2 0 0 1 1 0 1 0 7 0 0 6 0 1 4 0 1 1 0 0 1 0 0 0 10 0 0 1 1 4 0 1 0 0 0 1 0 0 1 0 0 1 4 0 1 0 1 1 1 0 1 1 0 2 0 0 4 1 0 1 0 0 0 0 2 1 1 0 5
"pleased" 0 1 1 0 1 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 1 0 6 0 0 5 2 0 1 0 0 0 0 1 0 1 1 0 4 1 0 1 1 3 0 1 0 0 0 3 0 0 0 1 0 1 0 0 2 1 0 0 1 0 0 0 0 2 1 1 1 1 0 0 1 0 0 0 0 1 0 0 6
"poor" 3 7 4 5 4 4 3 1 2 14 2 1 2 0 4 0 4 1 4 2 2 4 2 2 1 6 2 2 0 3 1 0 0 1 3 1 3 1 3 1 4 3 26 1 4 18 5 5 5 0 4 1 4 0 4 2 0 5 28 1 4 2 5 19 2 2 6 1 3 0 0 3 5 2 2 2 9 0 3 2 3 5 2 1 3 0 0 9 0 3 6 2 2 2 2 2 3 2 0 6 1 3 17
"popular" 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 5 0 0 3 0 1 1 0 0 0 0 1 1 0 0 0 4 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 3
"practical" 3 1 0 1 0 0 0 0 0 3 0 1 2 0 1 0 0 0 1 0 2 0 0 1 0 1 0 0 0 1 2 0 0 1 1 1 1 0 2 0 0 0 6 2 1 6 0 2 2 0 0 0 1 0 1 2 0 0 7 1 0 0 1 3 2 0 2 0 0 3 0 0 3 0 1 1 2 0 3 1 1 0 0 2 0 0 0 2 1 2 2 0 1 1 1 1 0 0 0 0 0 1 8
"pretty" 1 1 1 0 1 0 0 0 0 1 0 0 2 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 8 1 2 4 0 2 4 0 1 0 0 0 0 1 0 1 4 0 0 0 1 4 1 0 1 1 0 5 0 3 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 1 0 1 0 0 5
"private" 0 0 3 3 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 6 1 0 4 2 1 1 0 0 0 0 0 0 0 0 0 8 1 0 0 3 3 0 0 0 0 1 2 2 0 0 0 2 1 1 0 3 1 1 0 0 0 1 0 0 4 1 0 0 0 0 1 0 0 1 0 1 0 2 1 4
"proper" 0 0 4 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 3 1 0 5 1 2 0 0 0 0 0 0 0 0 1 0 5 1 1 0 1 1 0 0 1 0 0 2 0 1 0 2 0 1 2 0 2 1 1 0 1 1 1 1 0 4 1 0 0 1 0 0 0 0 1 0 1 0 0 2 1
"proud" 1 1 2 5 1 0 1 1 0 2 3 1 0 1 1 0 0 1 1 0 3 1 0 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 3 0 3 4 8 2 0 8 1 1 2 0 0 1 1 0 2 2 0 0 8 0 0 0 3 6 0 2 0 1 1 2 0 1 0 1 1 0 4 1 3 1 1 0 1 1 0 1 1 1 0 2 1 1 1 0 0 0 2 2 0 0 2 2 7
"quiet" 4 3 3 6 1 3 0 2 1 4 1 0 2 1 4 1 6 0 4 1 3 1 1 1 2 2 1 0 0 4 2 0 2 2 2 0 2 2 5 1 5 4 20 0 1 15 0 4 2 1 5 0 2 1 4 0 2 2 22 2 5 2 4 14 1 3 1 4 0 9 1 2 1 1 2 4 0 0 3 1 1 1 3 2 2 0 1 8 0 2 6 2 1 1 1 3 2 1 3 3 1 3 13
"reasonable" 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 1 0 1 0 0 0 0 0 2 3 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 5 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 2 3 1 1 0 0 0 1 0 1 0 0 1 1 0 2
"remarkable" 2 0 3 3 0 0 2 1 0 3 2 0 2 1 0 1 3 1 2 1 3 0 1 1 0 1 0 0 1 2 1 0 1 1 0 0 0 0 1 1 1 3 9 2 0 10 2 2 2 0 3 0 0 1 1 1 1 1 11 1 1 0 3 7 4 1 2 1 2 3 1 3 1 3 2 3 3 1 0 1 2 2 1 2 0 2 0 5 0 3 1 1 0 2 0 1 1 0 2 1 1 1 8
"respected" 1 1 1 1 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 2 1 1 2 2 1 0 0 0 0 0 1 0 0 0 0 3 0 0 1 1 1 0 0 0 0 1 2 0 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 2
"rich" 1 1 2 1 0 2 2 0 1 2 1 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 5 1 0 2 1 0 0 0 1 0 0 0 0 0 1 1 7 1 1 0 2 4 2 1 0 1 0 3 0 1 0 1 1 1 1 0 2 1 0 1 0 1 0 0 0 3 1 1 1 1 0 2 0 0 2 0 0 1 1 1 2
"ridiculous" 1 0 1 1 1 1 2 0 0 3 1 1 0 0 0 0 2 0 0 0 0 1 1 1 0 1 0 0 0 2 0 0 2 0 0 0 1 0 0 0 1 0 5 0 1 3 0 1 2 0 2 0 0 0 0 0 0 1 4 0 1 0 0 3 1 1 2 1 0 5 0 0 1 0 0 0 1 0 2 0 1 0 1 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 1 1 0 0 3
"rough" 0 1 1 0 1 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 3 0 0 4 0 0 1 1 2 0 0 0 0 1 0 1 3 1 2 0 0 3 0 1 0 1 1 2 0 0 0 0 1 1 3 0 1 0 0 1 0 1 0 0 0 3 0 0 1 0 0 1 0 0 0 0 1 1 0 0 2
"satisfied" 2 0 0 0 0 1 1 1 1 3 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 5 1 0 3 0 0 1 1 2 0 0 0 0 0 0 2 6 1 2 0 0 5 1 1 0 0 0 1 0 2 0 0 1 1 2 0 2 0 1 1 1 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3
"sensible" 0 0 2 1 0 1 0 0 0 0 0 0 0 1 1 0 1 2 2 0 0 2 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 1 5 0 1 3 0 2 1 0 0 0 0 0 0 0 0 0 5 0 1 1 1 2 0 0 0 1 0 3 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 1 0 0 1 0 1 2
"sentimental" 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 3 5 0 0 5 0 2 1 0 0 2 0 0 0 0 0 0 2 0 0 0 0 2 1 0 2 1 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 1 3 1 1 2 1 0 0 0 0 0 0 0 0 1 1 1
"serious" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 0 1 2 4 0 0 3 1 2 1 1 0 1 1 0 0 0 0 0 4 0 0 0 1 2 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 2 1 2 1 0 1 0 0 0 0 0 0 0 1 0 1
"short" 1 2 4 3 2 4 1 2 0 8 3 1 1 0 2 1 2 2 1 1 2 2 0 1 2 3 1 1 3 3 0 1 0 1 2 0 2 2 3 1 2 3 19 0 0 17 1 4 3 1 4 1 1 0 0 1 1 5 20 2 5 0 4 10 5 2 5 2 2 9 1 2 0 4 4 1 8 2 5 0 3 2 3 3 3 3 2 0 3 2 4 2 1 1 2 1 2 0 1 1 1 5 10
"social" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 5 0 0 4 0 2 1 0 0 1 0 0 0 0 0 0 5 1 0 0 1 2 2 0 0 0 1 0 0 1 0 1 1 0 0 3 0 0 1 0 0 0 1 1 1 3 0 1 1 0 0 1 0 0 1 0 0 1 0 0 3
"strange" 1 1 1 1 0 0 1 2 1 2 1 0 2 0 0 0 0 0 2 1 3 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 3 1 1 1 8 0 1 8 1 4 1 1 2 1 0 0 3 0 1 0 9 0 0 0 5 5 0 1 1 0 1 3 0 2 0 0 0 2 2 1 3 0 1 0 0 0 0 1 2 2 1 0 2 2 3 2 1 0 1 1 1 1 1 1 5
"strong" 2 3 1 3 2 3 2 2 2 8 0 0 0 0 1 1 3 0 1 0 2 2 0 0 0 2 0 0 0 2 0 1 0 3 2 2 2 0 2 0 1 2 15 0 0 14 0 4 1 0 1 2 2 0 2 2 1 1 15 0 0 2 2 6 2 1 4 4 1 6 1 2 2 0 0 1 6 1 1 0 1 0 1 1 0 2 1 4 1 2 0 2 0 0 0 1 1 0 2 1 0 0 10
"surprised" 0 0 3 2 1 2 0 0 1 1 0 0 0 0 3 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 2 0 0 0 2 2 0 1 8 0 2 4 1 1 1 0 1 0 1 0 0 0 1 0 6 0 0 0 1 4 0 0 1 1 1 2 0 0 1 0 1 1 2 0 1 0 1 0 0 1 1 1 0 2 0 2 2 0 0 1 0 0 1 0 0 0 0 2 4
"tall" 0 1 0 1 0 0 1 1 0 4 0 0 1 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 0 1 0 2 0 0 3 0 1 0 1 0 0 0 0 1 0 0 0 4 1 0 0 2 2 0 1 1 0 0 2 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 1 0 0 0 1 2
"thin" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 4 0 1 4 1 1 3 0 2 0 0 0 0 0 0 0 6 1 0 0 1 5 1 1 1 1 0 2 1 1 0 1 0 0 1 0 2 0 2 1 1 0 0 0 0 1 1 2 0 1 0 0 0 0 1 0 2 2 1 0 5
"thoughtful" 1 1 0 0 0 0 0 1 0 2 1 0 2 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 3 0 1 3 2 2 0 1 1 0 1 1 1 0 0 1 5 0 0 1 1 2 1 1 1 0 1 2 0 1 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4
"tired" 0 0 0 0 1 0 0 1 0 3 0 0 1 0 1 0 2 0 2 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 2 1 4 1 0 1 0 1 0 0 2 0 0 0 1 0 0 1 3 0 0 0 1 2 1 0 0 0 0 2 0 1 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 3
"troubled" 0 0 1 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 2 1 2 0 1 0 0 3 0 1 1 1 0 1 0 1 0 0 1 1 1 2 0 2 4 1 1 3 2 2 1 0 1 0 0 0 0 0 0 0 6 0 1 0 3 4 1 1 0 0 0 3 0 0 0 1 1 2 2 1 1 1 2 0 0 0 1 0 0 2 1 1 1 1 0 1 0 0 0 1 1 1 0 1 3
"unhappy" 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 3 1 0 4 0 0 1 0 0 0 0 0 1 0 0 1 3 0 0 0 2 3 0 0 0 0 0 2 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 2
"violent" 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 6 0 0 5 0 1 1 0 2 0 0 0 0 0 1 0 6 1 0 0 0 2 0 1 1 2 0 0 1 0 0 1 1 0 3 0 2 0 0 1 1 0 0 0 0 1 0 1 2 0 0 2 0 0 1 0 0 1 0 0 2
"weak" 0 1 0 1 1 3 0 0 2 1 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 1 0 0 1 1 1 1 0 2 1 7 0 0 4 0 2 2 0 2 1 0 0 2 0 0 2 7 0 1 1 0 5 0 2 1 1 1 6 0 0 1 0 0 0 3 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 2 0 1 1 1 1 0 1 0 4
"wonderful" 0 1 1 2 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 2 2 0 0 3 4 0 0 4 2 2 2 1 0 1 1 0 0 1 0 0 7 0 0 0 1 3 0 0 1 1 0 1 0 0 0 2 0 2 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 3
"worthy" 0 0 2 2 1 0 1 1 0 2 0 0 0 0 1 0 0 1 1 0 2 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 4 1 1 3 6 1 0 6 1 1 1 0 1 0 1 1 1 0 1 1 4 0 1 0 1 3 0 1 1 0 0 3 1 1 0 1 2 2 3 0 1 1 1 0 0 0 1 1 0 5 0 1 0 2 1 0 0 1 1 0 0 0 0 0 2
"young" 3 6 3 7 2 3 0 2 0 16 4 3 5 0 4 2 7 2 6 2 6 4 2 3 1 9 2 3 1 7 3 2 2 3 4 4 4 4 10 1 6 7 39 4 4 33 5 7 9 1 4 0 3 2 6 5 4 1 40 2 2 3 10 25 5 4 7 5 6 17 3 8 5 4 1 7 13 2 8 2 2 3 2 3 2 1 1 10 3 5 10 4 2 5 4 3 3 2 2 4 3 2 0
