"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awkward" "bad" "beautiful" "bitter" "blind" "bold" "bright" "busy" "careful" "certain" "cheerful" "clean" "clever" "cold" "comfortable" "cruel" "delighted" "delightful" "difficult" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "foolish" "fortunate" "gentle" "glad" "good" "graceful" "gracious" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "interesting" "jealous" "kind" "little" "lively" "loud" "lovely" "natural" "nervous" "nice" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sad" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "tired" "unhappy" "unusual" "violent" "warm" "weak" "worthy" "young"
"quiet" 3 3 4 8 2 7 1 4 6 5 3 5 3 7 3 2 12 7 1 0 10 6 3 0 1 4 5 2 2 9 9 3 1 9 3 0 4 9 30 2 1 35 3 14 8 3 5 2 0 4 7 38 1 10 5 11 1 0 33 15 1 3 6 12 2 24 4 4 3 1 0 3 1 5 4 1 2 16 3 11 2 5 1 3 4 1 3 7 3 7 25
"remarkable" 2 7 3 3 3 9 2 4 5 3 2 1 6 5 0 3 5 0 1 1 4 2 1 2 2 1 3 3 1 12 3 0 3 7 5 2 4 5 26 1 3 28 4 3 7 1 1 0 3 4 4 29 3 6 3 3 3 2 20 4 6 1 3 2 3 15 4 8 5 5 3 0 1 2 0 1 4 12 4 8 3 3 5 0 3 3 3 3 5 7 23
"respectable" 1 2 1 0 0 3 1 2 0 2 0 1 1 0 2 0 2 0 0 1 4 1 2 3 2 0 1 0 2 4 0 0 0 0 0 0 2 2 10 2 0 14 1 4 2 3 1 1 2 3 2 12 1 1 1 4 1 1 6 5 2 0 1 2 4 6 3 4 4 3 1 1 0 0 1 0 1 5 2 3 1 4 0 0 0 1 0 0 1 1 11
"rich" 2 2 4 5 3 3 1 1 8 6 2 2 0 4 1 4 2 3 1 1 8 8 2 1 1 4 1 1 1 4 6 0 0 6 2 3 6 5 23 2 1 27 7 8 11 6 1 1 0 1 4 27 1 7 3 3 1 1 21 11 1 2 3 6 1 13 2 4 2 4 5 2 0 0 2 1 1 9 5 6 1 1 2 3 3 0 3 6 3 5 18
"rough" 2 3 1 1 1 1 1 0 0 5 1 2 1 2 1 0 3 0 1 1 4 0 0 0 0 0 0 0 0 2 4 1 0 2 1 1 3 4 14 2 0 11 2 4 5 1 1 0 0 1 1 14 1 4 1 6 1 1 13 2 0 2 2 3 2 7 1 2 4 0 4 0 1 2 0 0 2 8 3 3 2 1 1 0 0 1 1 2 1 1 13
"sad" 1 3 1 2 1 3 2 0 4 4 2 1 1 2 1 1 3 1 3 0 3 0 0 0 2 0 1 1 0 2 3 2 0 4 1 1 1 6 10 1 1 15 2 6 4 4 0 0 0 1 3 14 0 1 0 3 2 1 10 1 1 1 1 1 0 12 2 3 0 2 1 1 0 1 0 0 0 6 3 2 1 1 1 2 0 1 1 3 1 1 12
"serious" 1 5 1 1 2 6 2 1 2 4 2 1 2 4 2 1 11 1 3 2 2 1 1 2 4 1 1 2 1 8 4 0 4 0 3 1 1 5 23 0 3 26 2 7 1 0 1 0 2 3 2 24 2 3 0 5 2 4 16 7 4 3 2 3 2 12 2 6 7 8 2 4 1 1 2 0 0 10 1 9 4 4 3 4 4 2 5 2 3 5 21
"short" 5 17 5 14 8 18 5 6 12 21 8 10 4 8 5 7 21 3 6 3 19 6 6 5 13 7 6 7 6 27 16 6 11 15 10 5 11 19 74 5 7 90 8 34 20 11 7 5 7 5 22 93 3 19 3 20 9 1 72 24 10 5 6 13 9 48 14 17 11 11 16 12 5 9 8 6 10 0 13 16 11 7 12 9 8 5 26 9 10 21 74
"strange" 2 3 4 3 1 7 1 2 4 5 4 1 1 2 1 3 7 1 0 1 7 2 1 1 0 2 3 0 1 7 3 2 2 6 4 1 4 8 21 0 1 23 1 8 11 2 0 0 0 0 5 26 0 2 2 3 3 3 22 5 4 0 4 6 3 18 2 5 1 1 3 4 2 5 3 3 1 13 0 4 3 4 0 2 1 3 6 1 2 5 18
"strong" 9 8 4 6 5 9 4 5 8 11 0 2 3 5 3 6 14 5 3 5 11 8 5 3 7 3 5 3 6 13 9 4 3 6 3 3 5 15 43 2 2 49 8 16 6 8 2 4 6 3 6 52 1 6 3 10 4 2 38 15 5 8 5 10 4 26 3 8 4 12 11 8 3 6 3 2 9 16 4 0 3 2 3 4 7 8 8 6 8 7 46
"surprised" 0 2 2 5 2 4 1 2 3 8 0 0 1 1 1 2 4 3 2 2 8 2 0 1 2 1 0 1 0 8 2 0 4 2 1 1 2 7 21 0 3 22 3 7 2 1 0 3 0 2 4 26 0 5 4 4 5 4 18 2 1 1 4 4 0 11 2 4 3 1 2 3 1 1 2 1 4 11 3 3 0 4 2 2 0 4 3 1 3 4 18
"sweet" 0 4 3 2 0 5 0 3 2 3 2 0 1 1 1 0 3 2 0 1 5 1 1 1 5 1 1 1 2 6 1 2 2 4 1 0 3 2 15 2 0 21 1 11 2 1 1 3 1 1 6 18 1 1 2 5 0 1 13 5 3 2 3 6 1 12 3 3 1 5 5 3 4 1 1 1 4 7 4 2 4 0 1 1 1 0 3 2 0 5 14
"tall" 1 0 0 2 0 4 0 1 3 5 1 2 1 1 3 2 3 1 3 2 3 0 0 0 1 1 0 2 2 4 4 0 2 1 1 0 4 5 12 1 2 15 1 3 1 1 1 1 2 1 1 18 0 7 2 2 1 1 13 2 0 2 0 4 1 3 1 1 1 2 1 5 0 2 1 1 3 12 0 3 2 1 0 2 1 1 3 2 1 3 12
"tired" 2 0 0 0 0 3 2 0 3 2 0 1 0 2 2 0 4 1 2 0 2 1 1 0 3 1 0 1 0 8 3 0 2 2 0 0 2 3 15 1 2 14 3 8 1 2 0 0 1 0 4 16 0 2 0 8 2 2 12 4 1 0 2 5 0 8 1 1 1 0 3 0 0 3 0 2 4 9 2 4 2 1 2 0 3 1 1 3 2 6 14
"unhappy" 0 0 1 5 2 4 1 0 4 0 2 1 1 2 2 1 6 1 3 0 1 2 3 0 1 0 0 2 1 4 3 0 2 5 3 1 1 3 16 0 1 20 2 8 10 4 1 0 0 1 4 19 0 3 1 4 3 0 14 6 1 1 2 4 1 14 0 3 1 2 4 3 0 3 0 0 4 8 1 7 0 1 1 3 0 1 5 3 4 5 19
"unusual" 1 2 1 1 1 1 0 1 3 4 1 0 1 2 3 0 5 3 2 2 2 3 0 1 0 2 2 0 1 9 2 2 1 3 0 0 2 4 12 0 1 13 3 3 3 1 0 1 0 0 2 13 3 2 1 1 1 1 14 3 4 1 1 1 1 8 1 2 3 2 1 3 1 0 1 1 2 5 3 8 4 0 1 1 1 0 2 2 3 0 12
"violent" 2 6 3 3 8 5 1 2 10 8 4 1 1 2 0 3 8 1 1 1 8 0 3 3 2 1 1 5 0 8 6 1 2 5 3 2 5 3 28 0 2 39 4 13 7 6 3 4 1 2 4 42 2 5 5 3 2 2 28 13 3 5 3 7 3 17 3 3 4 8 3 3 0 3 1 1 5 26 6 8 3 3 3 1 5 2 0 2 6 5 36
"warm" 5 3 3 4 2 7 0 0 5 5 1 1 1 6 2 1 4 7 2 0 8 2 0 4 2 2 0 3 3 6 3 3 1 10 1 1 5 4 18 2 0 22 3 7 6 3 1 2 0 1 4 26 2 5 2 6 2 1 23 8 2 2 3 7 3 14 1 4 4 4 7 3 0 6 2 3 2 9 1 6 1 2 2 3 3 2 2 0 1 2 20
"weak" 0 1 0 3 2 5 2 4 4 5 3 3 1 3 1 2 4 2 0 1 5 1 2 0 3 3 1 0 0 6 1 1 2 5 3 2 2 3 21 1 2 16 3 7 5 6 1 1 1 2 1 20 1 5 1 3 2 1 14 4 3 3 1 1 0 12 2 3 4 2 3 5 1 3 1 1 3 10 2 8 3 0 1 2 4 3 6 1 0 2 18
"worthy" 1 7 4 3 3 9 2 3 8 3 2 1 2 2 2 2 9 5 3 1 4 1 1 2 4 2 2 5 1 15 3 2 2 8 3 2 3 8 32 1 4 40 3 13 5 5 2 2 2 2 12 40 3 6 3 4 1 2 30 8 2 2 3 9 4 27 6 7 6 7 7 7 1 5 1 1 5 21 5 7 4 5 3 6 5 0 5 2 2 0 25
"young" 13 25 15 16 16 28 7 14 33 34 13 13 12 20 9 8 44 15 8 8 31 17 13 8 17 9 10 9 10 50 27 8 13 31 14 9 20 32 141 7 10 164 21 50 34 21 12 12 9 14 25 171 7 29 15 32 11 10 125 33 19 15 13 29 11 91 22 25 26 21 25 23 11 18 13 12 21 74 18 46 18 14 12 14 19 12 36 20 18 25 0
