"thomas_--_thomas_gradgrind::exactly";"thomas_gradgrind::exactly"
"bounderby::understands";"tom_gradgrind::bright"
"bounderby::understands";"tom_gradgrind::understands"
"cecilia_jupe::bright";"cecilia_jupe::understands"
"cecilia_jupe::bright";"loo_bounderby::bright"
"cecilia_jupe::bright";"loo_bounderby::understands"
"cecilia_jupe::bright";"louisa::bright"
"cecilia_jupe::bright";"louisa::understands"
"cecilia_jupe::bright";"sissy::bright"
"cecilia_jupe::bright";"sissy::understands"
"cecilia_jupe::bright";"tom_gradgrind::bright"
"cecilia_jupe::bright";"tom_gradgrind::understands"
"cecilia_jupe::understands";"loo_bounderby::bright"
"cecilia_jupe::understands";"loo_bounderby::understands"
"cecilia_jupe::understands";"louisa::bright"
"cecilia_jupe::understands";"louisa::understands"
"cecilia_jupe::understands";"sissy::bright"
"cecilia_jupe::understands";"sissy::understands"
"cecilia_jupe::understands";"tom_gradgrind::bright"
"cecilia_jupe::understands";"tom_gradgrind::understands"
"loo_bounderby::bright";"loo_bounderby::understands"
"loo_bounderby::bright";"louisa::bright"
"loo_bounderby::bright";"louisa::understands"
"loo_bounderby::bright";"sissy::bright"
"loo_bounderby::bright";"sissy::understands"
"loo_bounderby::bright";"tom_gradgrind::bright"
"loo_bounderby::bright";"tom_gradgrind::understands"
"loo_bounderby::understands";"louisa::bright"
"loo_bounderby::understands";"louisa::understands"
"loo_bounderby::understands";"sissy::bright"
"loo_bounderby::understands";"sissy::understands"
"loo_bounderby::understands";"tom_gradgrind::bright"
"loo_bounderby::understands";"tom_gradgrind::understands"
"louisa::bright";"louisa::understands"
"louisa::bright";"sissy::bright"
"louisa::bright";"sissy::understands"
"louisa::bright";"tom_gradgrind::bright"
"louisa::bright";"tom_gradgrind::understands"
"louisa::understands";"sissy::bright"
"louisa::understands";"sissy::understands"
"louisa::understands";"tom_gradgrind::bright"
"louisa::understands";"tom_gradgrind::understands"
"sissy::bright";"sissy::understands"
"sissy::bright";"tom_gradgrind::bright"
"sissy::bright";"tom_gradgrind::understands"
"sissy::understands";"tom_gradgrind::bright"
"sissy::understands";"tom_gradgrind::understands"
"tom_gradgrind::bright";"tom_gradgrind::understands"
"bounderby::boisterous";"bounderby::deeper"
"bounderby::boisterous";"tom_gradgrind::boisterous"
"bounderby::boisterous";"tom_gradgrind::deeper"
"bounderby::deeper";"tom_gradgrind::boisterous"
"bounderby::deeper";"tom_gradgrind::deeper"
"tom_gradgrind::boisterous";"tom_gradgrind::deeper"
"bounderby::contrary";"tom_gradgrind::contrary"
"gradgrind::contrary";"tom_gradgrind::contrary"
"bounderby::consideration";"gradgrind::consideration"
"bounderby::consideration";"tom_gradgrind::consideration"
"gradgrind::consideration";"tom_gradgrind::consideration"
"bounderby::inflexible";"bounderby::just"
"bounderby::kindness";"louisa::kindness"
"loo_bounderby::understand";"loo_gradgrind::understand"
"josiah_bounderby::sentimental";"tom_gradgrind::sentimental"
"venus::boastful";"venus::business"
"venus::boastful";"venus::promptitude"
"venus::business";"venus::promptitude"
"stephen_blackpool::complexion";"stephen_blackpool::direction"
"stephen_blackpool::honest";"stephen_blackpool::independent"
"louisa::quietly";"sissy::quietly"
"bounderby::timid";"rachael::timid"
"bounderby::timid";"sissy::timid"
"bounderby::timid";"tom::timid"
"rachael::timid";"sissy::timid"
"rachael::timid";"tom::timid"
"sissy::timid";"tom::timid"
"tom_gradgrind::obstinate";"tom::obstinate"
"bounderby::proudly";"rachael::proudly"
"bounderby::proudly";"stephen_blackpool::proudly"
"rachael::proudly";"stephen_blackpool::proudly"
"stephen::certain";"stephen::just"
"stephen::certain";"stephen::straight"
"stephen::just";"stephen::straight"
"bounderby::#-considered";"bounderby::business"
"bounderby::#-considered";"bounderby::suspicion"
"bounderby::business";"bounderby::suspicion"
"bounderby::sulky";"tom::sulky"
"gradgrind::confidence";"louisa::confidence"
"gradgrind::confidence";"rachael::confidence"
"louisa::confidence";"rachael::confidence"
"louisa::frightened";"sissy::frightened"
"louisa::frightened";"stephen::frightened"
"sissy::frightened";"stephen::frightened"
"rachael::confidence";"rachael::considering"
"rachael::brighter";"sissy::brighter"
"bounderby::bright";"sparsit::bright"
"bounderby::disorderly";"rachael::disorderly"
"bounderby::disorderly";"sissy::disorderly"
"bounderby::disorderly";"sparsit::disorderly"
"rachael::disorderly";"sissy::disorderly"
"rachael::disorderly";"sparsit::disorderly"
"sissy::disorderly";"sparsit::disorderly"
"bounderby::expressions";"pegler::expressions"
"bounderby::expressions";"sparsit::expressions"
"pegler::expressions";"sparsit::expressions"
"bounderby::warmth";"pegler::warmth"
"bounderby::warmth";"sparsit::warmth"
"pegler::warmth";"sparsit::warmth"
"josiah::lived";"josiah::quiet"
"bounderby::impatient";"pegler::impatient"
"bounderby::inhuman";"gradgrind::inhuman"
"bounderby::inhuman";"pegler::inhuman"
"gradgrind::inhuman";"pegler::inhuman"
"pegler::forward";"pegler::kind"
"pegler::forward";"pegler::steady"
"pegler::kind";"pegler::steady"
"gradgrind::suspicions";"pegler::suspicions"
"gradgrind::suspicions";"stephen_blackpool::suspicions"
"pegler::suspicions";"stephen_blackpool::suspicions"
"louisa::#-confidence";"louisa::suspicion"
"louisa::#-confidence";"louisa::unconscious"
"louisa::#-confidence";"sissy::#-confidence"
"louisa::#-confidence";"sissy::suspicion"
"louisa::#-confidence";"sissy::unconscious"
"louisa::suspicion";"louisa::unconscious"
"louisa::suspicion";"sissy::#-confidence"
"louisa::suspicion";"sissy::suspicion"
"louisa::suspicion";"sissy::unconscious"
"louisa::unconscious";"sissy::#-confidence"
"louisa::unconscious";"sissy::suspicion"
"louisa::unconscious";"sissy::unconscious"
"sissy::#-confidence";"sissy::suspicion"
"sissy::#-confidence";"sissy::unconscious"
"sissy::suspicion";"sissy::unconscious"
"louisa::honesty";"stephen_blackpool::honesty"
"rachael::kindness";"sissy::kindness"
"louisa::calmest";"louisa::opportunity"
"louisa::calmest";"louisa::particularly"
"louisa::calmest";"sissy::calmest"
"louisa::calmest";"sissy::opportunity"
"louisa::calmest";"sissy::particularly"
"louisa::calmest";"sleary::calmest"
"louisa::calmest";"sleary::opportunity"
"louisa::calmest";"sleary::particularly"
"louisa::opportunity";"louisa::particularly"
"louisa::opportunity";"sissy::calmest"
"louisa::opportunity";"sissy::opportunity"
"louisa::opportunity";"sissy::particularly"
"louisa::opportunity";"sleary::calmest"
"louisa::opportunity";"sleary::opportunity"
"louisa::opportunity";"sleary::particularly"
"louisa::particularly";"sissy::calmest"
"louisa::particularly";"sissy::opportunity"
"louisa::particularly";"sissy::particularly"
"louisa::particularly";"sleary::calmest"
"louisa::particularly";"sleary::opportunity"
"louisa::particularly";"sleary::particularly"
"sissy::calmest";"sissy::opportunity"
"sissy::calmest";"sissy::particularly"
"sissy::calmest";"sleary::calmest"
"sissy::calmest";"sleary::opportunity"
"sissy::calmest";"sleary::particularly"
"sissy::opportunity";"sissy::particularly"
"sissy::opportunity";"sleary::calmest"
"sissy::opportunity";"sleary::opportunity"
"sissy::opportunity";"sleary::particularly"
"sissy::particularly";"sleary::calmest"
"sissy::particularly";"sleary::opportunity"
"sissy::particularly";"sleary::particularly"
"sleary::calmest";"sleary::opportunity"
"sleary::calmest";"sleary::particularly"
"sleary::opportunity";"sleary::particularly"
"louisa::agreeable";"louisa::complexion"
"louisa::agreeable";"louisa::demonstrative"
"louisa::agreeable";"louisa::natural"
"louisa::agreeable";"sissy::agreeable"
"louisa::agreeable";"sissy::complexion"
"louisa::agreeable";"sissy::demonstrative"
"louisa::agreeable";"sissy::natural"
"louisa::complexion";"louisa::demonstrative"
"louisa::complexion";"louisa::natural"
"louisa::complexion";"sissy::agreeable"
"louisa::complexion";"sissy::complexion"
"louisa::complexion";"sissy::demonstrative"
"louisa::complexion";"sissy::natural"
"louisa::demonstrative";"louisa::natural"
"louisa::demonstrative";"sissy::agreeable"
"louisa::demonstrative";"sissy::complexion"
"louisa::demonstrative";"sissy::demonstrative"
"louisa::demonstrative";"sissy::natural"
"louisa::natural";"sissy::agreeable"
"louisa::natural";"sissy::complexion"
"louisa::natural";"sissy::demonstrative"
"louisa::natural";"sissy::natural"
"sissy::agreeable";"sissy::complexion"
"sissy::agreeable";"sissy::demonstrative"
"sissy::agreeable";"sissy::natural"
"sissy::complexion";"sissy::demonstrative"
"sissy::complexion";"sissy::natural"
"sissy::demonstrative";"sissy::natural"
"louisa::sullenly";"sissy::sullenly"
"gradgrind::question";"sleary::question"
"bounderby::just";"harthouse::just"
"bitzer::calculations";"gradgrind::calculations"
"gradgrind::perthon";"sleary::perthon"
"gradgrind::perthon";"thquire::perthon"
"sleary::perthon";"thquire::perthon"
"sleary::kind";"sleary::vain"
"bounderby::disdainfully";"sparsit::disdainfully"
"sparsit::peevish";"sparsit::smarting"
"bitzer::spirited";"tom::spirited"
"gradgrind::abstraction";"gradgrind::gentleman'"
"louisa::gentler";"louisa::humbler"
