"" "#-little" "admirable" "afraid" "alone" "ashamed" "bad" "big" "bitter" "blind" "bold" "bright" "capable" "childish" "cold" "conceited" "concerned" "corrupt" "curious" "dedicated" "delighted" "determined" "direct" "dishonest" "distinguished" "eager" "excellent" "familiar" "famous" "fat" "fine" "friendly" "gentle" "glad" "good" "gorgeous" "gracious" "great" "happy" "hard" "honest" "ignorant" "important" "innocent" "insulting" "little" "modest" "natural" "nice" "old" "open" "ordinary" "passionate" "patient" "plain" "pleasant" "pleased" "pleasing" "proper" "proud" "quiet" "reasonable" "rebellious" "rich" "rough" "sad" "serious" "short" "sincere" "slender" "strange" "strong" "sweet" "tall" "terrible" "thorough" "violent" "well" "wise" "ridiculous" "young" "troubled" "impatient" "thin" "superstitious" "wonderful" "tough"
"thorough" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0
"violent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0
"well" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"wise" 0 0 1 0 0 1 1 0 0 0 2 1 0 1 0 1 0 0 0 1 1 0 0 0 3 1 0 2 0 2 1 1 1 2 1 1 5 0 1 0 1 0 1 0 6 0 0 1 0 2 0 0 0 1 2 2 0 1 0 1 2 0 3 1 0 0 3 1 1 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0
"ridiculous" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"young" 0 0 1 0 0 2 1 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 0 0 2 0 8 0 0 6 0 1 1 1 1 0 0 4 1 0 0 0 2 1 0 0 0 0 1 0 1 0 1 1 0 2 0 0 1 4 0 1 1 1 1 1 1 1 1 0 2 0 0 0 0 0 0 0 0
"troubled" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"impatient" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"thin" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"superstitious" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wonderful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"tough" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
