"node_id" "tags" "dpub"
"165" "active, affluent, close, cold, earnest, face, familiar, general, gloomy, gracious, having, honest, mouth, natural, open, sudden" "165"
"166" "abrupt, assured, certain, cunning, determined, face, fast, having, hurried, martyr, pleasant, quiet, resolved, rude, slippery, still, uncertain, weak" "166"
"167" "confidential, constant, face, familiar, fast, fiery, frolicsome, general, having, hopeless, hurried, knowing, spirit, thoughtful, vain, virtuous" "167"
"168" "close, even, face, fast, melancholy, sure" "168"
"169" "airy, bland, called, certain, cheerful, congenial, conversation, earnest, easy, even, expressive, face, gentle, glib, having, hopeful, intense, jealous, knocker, light-hearted, lonely, malicious, particular, second, sentimental, soft, strong, tranquil, weakly" "169"
"170" "coming, convivial, decided, joyful, kind, melancholy, open, particular, silent, stiff, watchful" "170"
"171" "speedy, still" "171"
"172" "close, deprecatory, even, fast, formal, general, gentle, having, heavy, humble, jolly, poker, serious, still, submissive, sure, tearful" "172"
"173" "certain, eulogistic, free, grig, merry, rusty, sour, stealthy, unkind" "173"
"174" "adventurous, called, face, fastidious, heavy, maudlin, melancholy, moody, responsible, sure, violent, vocal" "174"
"175" "constant, energetic, sudden" "175"
"176" "bland, certain, cheerful, cold, congenial, conversation, cunning, direct, face, fearful, having, kind, mouth, open, open-hearted, pleasant, scrupulous, strong-minded, tight, vague" "176"
"177" "avaricious, boisterous, cold, coming, complimentary, feminine, having, honest, impatient, insolent, jovial, obsequious, slow, unmindful" "177"
"178" "boisterous, dainty, girl, jolly, loving, quiet, reckless, steady, tender" "178"
"179" "bold, close, cold, cunning, domestic, even, face, honest, hurried, kind, merry, monkish, open, peaceful, quiet, reserved, rude, rusty, slow, still, vain" "179"
"180" "busy, called, cheerful, cheery, close, even, face, having, loud, melancholy, mournful, open, patient, pleasant, quiet, rusty, sad, silent, simple-hearted, spirit, still, sweet, thoughtful, tranquil, weak" "180"
"181" "active, called, certain, close, conversation, face, gloomy, having, heavy, kind, mild, promiscuous, simple, spirit, still, vague" "181"
"182" "certain, cheerful, confidential, face, feel, frank, having, honest, hopeful, joyous, loud, natural, playful, thoughtless" "182"
"183" "cold, earnest, echoing, free, fresh, grateful, grave, having, meek, mouth, patient, second, serene, still, sudden, thankful, tight" "183"
"184" "calm, close, coming, easy, glory, kind, knowing, merciful, mournful, pious, quiet, rusty, silent, simple, stately, stern, still, sudden, sure, sweet, tempered, violent, wise" "184"
"185" "busy, coming, face, merry, quiet, still" "185"
"186" "airy, certain, constant, easy, face, gentle, gloomy, glory, grave, kind, merciful, obdurate, peaceful, penitent, rough, silent, stern, still, tender, thoughtful, tranquil, true, willing" "186"
"187" "active, called, compassionate, earnest, grave, having, impatient, irritable, kind, loving, melancholy, pleasant, second, still, sudden, sure, tender, true, uncertain" "187"
"188" "busy, cold, even, fast, feel, gay, grateful, grave, kind, limp, sad, silent, sober, sorrowful, still, unmindful" "188"
"189" "brave, close, cold, even, faithful, hurried, kind, obedient, pleasant, quiet, smooth, thankful, tranquil, true" "189"
"190" "careless, casual, cold, compassionate, conversation, earnest, even, friendly, gentle, humble, light-hearted, mute, open, passionate, proud, selfish, sure, thoughtless, unguarded" "190"
"191" "close, earnest, even, face, gentle, gloomy, grave, kind, merry, quiet, still, sure, tearful, timid" "191"
"192" "close, gay, gloomy, religious, still" "192"
"193" "cheerful, close, cold, conversation, easy, expressive, fraternal, graceful, kind, mazy, meek, open, slow, soft, still, sure" "193"
"194" "airy, certain, coming, consistent, disrespectful, emphatic, feel, fierce, good-natured, having, hurried, poker, prophetic, restrained, snobbish, sudden, temperate, tender, true" "194"
"195" "called, certain, cheerful, coming, cunning, face, free, fresh, gay, jocose, kind, light-hearted, merry, musical, negative, oily, open, particular, pensive, pleasant, shy, spirit, sweet, tacit, vocal" "195"
"196" "compassionate, conversation, having, honest, humble, mild, poetic, rusty, vocal" "196"
"197" "constant, conversation, docile, having, honest, intimate, kind, mincing, partial, pleasant, rapid, sleek, still, strong, sure, sweet" "197"
"198" "called, cold, coming, conversation, cunning, even, game, gay, grateful, having, heavy, kind, moderate, open, pack, particular, pleasant, second, sensitive, sharp-witted, thoughtful, tight" "198"
"199" "constant, conversation, cunning, determined, fast, glory, humble, melodramatic, merry, responsible, shrewd, still, sure" "199"
"200" "conversation, earnest, even, gloomy, having, heady, lively, mild, obdurate, resolved, sad, stern, still, strong, tender, unhappy" "200"
"201" "assured, careful, chaste, cheerful, coming, conversation, cunning, face, fresh, friendly, having, loud, natural, negative, particular, pleasant, serious, sure, thoughtful, virtuous, wasteful" "201"
"202" "frank, honest, open, still" "202"
"203" "close, even, face, free, generous, having, honest, impatient, industrious, kind, oily, open, particular, sad, slow, steady, still, true" "203"
"204" "certain, dashing, easy, even, face, fast, having, honest, kind, pleasant, sure, tight" "204"
"205" "even, feel" "205"
"206" "called, circumstantial, coming, dishonest, even, face, gloomy, having, mournful, passive, regardless, sad, slow, still, straight, strong, sure, tight, tremulous, true, unresisting" "206"
"207" "coming, conversation, decided, even, face, familiar, melancholy, mournful, observant, open, rapid, sad, sudden, sure, true" "207"
"208" "called, cringing, face, feel, grave, honest, open, rude, smooth, sure" "208"
"209" "assured, critical, face, friendly, having, hypocritical, jealous, pacific, sensible, straight, treacherous, virtuous, wary" "209"
"210" "calm, certain, considerate, constant, even, generous, gentle, hunted, knowing, loud, simple, still, strong, thankful, vague" "210"
"211" "coming, face, hard-hearted, kind, melancholy, mouth, natural, particular, resolved, restrained, second, silent, thoughtful, waggish" "211"
"212" "called, cordial, kind" "212"
"213" "face, fiery, forward, friendly, having, injudicious, kind, knowing, pleasant, rapid, treacherous, uncertain, vocal, whimsical, wide-awake" "213"
"214" "certain, contained, conversation, cunning, even, exact, face, familiar, feel, fiery, gentle, injudicious, kind, lonely, martyr, mouth, poker, practical, rusty, spirit, still, violent" "214"
"215" "complimentary, intractable, pleasant, quiet, sober, still, strong, sure" "215"
"216" "careful, rusty, sure, uncertain" "216"
"217" "brisk, called, close, easy, fresh, friendly, glory, hasty, having, immaculate, loud, natural, obdurate, strong, sudden, sure, virtuous" "217"
"218" "affable, careless, coming, commanding, dishonest, feel, having, honest, knowing, open, sad, strong, sure, thankful" "218"
"219" "kind, slow, spiritual, sure, tight" "219"
"220" "called, clean, constant, determined, even, familiar, fearful, feel, fierce, fresh, game, having, heavy, indifferent, loud, neat, open, restless, slow, still, suggestive, trim" "220"
"221" "clean, coming, conversation, crisp, face, grateful, having, silent, slow, weak" "221"
"222" "close, cold, even, feel, fervent, narrative, patient, quiet, rusty, still, violent" "222"
"223" "coming, conversation, even, hurried, patient, shy, sure, verbal, weak" "223"
"224" "called, fast, having, quick, random, resolved, respectful, slipshod, still, true, unmindful" "224"
"225" "close, contrary, earnest, face, fast, forward, giddy, having, hearty, hurried, neat, particular, quick, retiring, still, sure, thoughtful, timid" "225"
"226" "brisk, consistent, discreet, even, face, fresh, grateful, helpless, keen, kind, mouth, patient, slow, sober, spruce, still, tight, weak" "226"
"227" "buck, certain, cordial, critical, delicate, easy, even, gentle, gracious, impetuous, jelly, kind, mouth, strong, unremitting, unyielding, vain" "227"
"228" "confidential, cunning, curious, face, fast, feel, frigid, gentle, grave, kind, mouth, mover, particular, responsible, runaway, stiff, sudden, sufficient" "228"
"229" "abject, cold, conversation, face, having, indifferent, silent, still, suspicious, violent" "229"
"230" "bitter, bold, called, clean, confident, humble, kind, knowing, long-headed, melancholy, mournful, presumptuous, prudent, shrewd, spirit, sure, tender" "230"
"231" "careless, certain, close, even, fast, free, having, spontaneous, stealthy, still, sure, thoughtless" "231"
"232" "abrupt, cold, coming, convivial, determined, face, fearful, fresh, gloomy, having, jovial, kind, malicious, martyr, meek, pleasant, poker, quick, slow, sluggish, still, submissive" "232"
"233" "affectionate, called, close, cold, complimentary, easy, face, faithful, gentle, having, hurried, poker, presumptuous, prudent, quiet, sudden, tight, unequivocal" "233"
"234" "clamorous, cold, coming, continuing, face, fast, ferocious, forward, heavy, honest, hospitable, impetuous, knowing, loud, mouth, open, penitent, proud, speedy, spirit, still, sweet, thoughtful, violent, virtuous" "234"
