"" "#-fancy" "#-happy" "#-married" "#-pleasing" "#-wise" "accomplished" "afraid" "alert" "amusing" "beautiful" "best" "blessed" "bustle" "calm" "capable" "careful" "cautious" "charitable" "cheerful" "clean" "clever" "comfortable" "compassionate" "competent" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "direct" "encouraging" "energetic" "entertaining" "entitled" "exciting" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "feeling" "forgiving" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "improper" "independent" "intellectual" "intelligent" "interesting" "irregular" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "natural" "neat" "obliged" "original" "playful" "pleasant" "pleasing" "polite" "popular" "powerful" "professional" "profitable" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "sacred" "safe" "safer" "secure" "selfish" "shocked" "sincere" "social" "spontaneous" "stable" "standing" "strong" "superior" "surprising" "uncertain" "unfair" "united" "universal" "unpleasant" "weak" "weaker" "welcome" "wise" "worth" "productive" "thoughtful" "encouraged" "strengthened" "tidy" "subordinate"
"friendly" 0 0 0 0 0 0 5 0 0 1 5 0 1 0 0 0 1 0 6 0 1 4 1 1 0 0 0 0 1 0 2 4 2 4 0 0 0 0 0 1 2 1 3 0 0 0 1 1 0 1 0 0 0 1 1 2 0 8 0 0 4 0 0 0 0 1 0 0 1 0 1 1 0 0 2 1 0 0 0 5 0 0 1 1 0 0 1 0 0 1 1 1 0 0 5 1 0 1 0 0 1 0 0 0 4 4 1 1 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0
"generous" 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gentle" 0 0 0 0 1 0 6 0 0 3 3 0 0 0 1 1 0 0 5 0 3 2 0 1 0 1 0 0 2 0 2 4 0 3 1 0 1 0 0 1 0 1 3 0 1 0 0 0 0 0 0 1 0 0 0 2 3 10 0 0 0 0 1 1 2 1 0 0 1 2 0 0 0 0 5 1 2 0 1 4 4 0 0 0 0 0 0 0 0 3 1 3 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0
"genuine" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0
"graceful" 0 0 0 0 0 1 1 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"greatest" 0 1 0 0 0 0 8 0 2 2 11 0 0 1 2 3 1 0 4 1 4 6 0 1 1 0 0 0 3 0 3 5 2 7 0 1 1 0 0 2 2 1 5 1 1 1 1 1 0 3 2 0 2 0 0 0 1 13 0 1 1 0 3 0 0 6 0 0 2 2 0 0 0 0 9 1 0 0 0 6 4 1 0 0 0 0 2 0 0 4 4 1 0 0 1 0 2 1 1 1 1 0 0 1 6 4 0 0 0 0 0 3 0 1 0 0 6 0 1 0 1 0 0
"happier" 0 0 0 0 0 0 5 0 0 1 2 1 0 1 0 0 1 0 2 0 0 1 0 0 0 1 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 5 0 0 0 1 1 0 0 1 0 0 1 2 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1
"happy" 1 0 0 1 1 2 28 0 3 11 28 2 2 0 4 2 1 1 15 1 9 14 1 2 2 2 1 5 5 0 14 20 7 18 5 1 1 1 1 5 8 6 7 0 1 2 3 1 1 2 8 1 10 1 1 13 5 0 1 2 7 1 5 2 2 15 0 0 4 9 0 1 2 1 20 5 2 4 2 17 9 1 0 3 1 1 2 1 1 14 7 4 0 0 10 4 3 2 3 3 1 1 2 2 14 20 2 1 1 2 1 5 3 0 6 4 11 1 3 0 0 0 0
"harmless" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0
"honest" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 1 1 3 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 1 1 0 1 1 0 1 2 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"humble" 0 0 0 0 0 0 4 0 0 1 2 0 1 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 1 1 3 2 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 4 0 0 0 1 1 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 3 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 1 1 0 0 3 0 0 2 0 0 0 0 0 0 1 5 1 0 0 0 0 2 1 0 1 1 2 0 0 0 0 0 0
"improper" 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"independent" 0 0 1 0 0 1 2 0 0 2 2 0 0 0 0 1 0 1 1 0 1 2 0 0 0 0 0 1 1 0 1 1 2 3 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 3 1 5 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 3 2 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0
"intellectual" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 1 2 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0
"intelligent" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"interesting" 0 1 0 0 0 1 7 0 2 4 10 1 1 0 0 1 1 1 4 0 3 4 1 0 1 0 1 2 2 1 3 6 1 3 1 0 1 0 0 1 6 2 3 1 1 0 0 0 0 0 1 0 1 1 1 6 1 15 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 10 1 0 1 1 4 3 1 0 0 0 1 2 0 0 3 3 2 0 0 0 0 2 0 0 1 1 0 0 1 7 8 0 1 1 0 0 3 1 0 0 0 4 0 0 0 0 0 0
"irregular" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"legal" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"liberal" 0 0 0 0 0 0 2 0 0 1 4 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 2 0 1 1 0 0 0 1 0 0 1 2 0 0 1 1 0 0 0 1 0 1 0 0 2 1 4 1 1 0 1 0 1 1 0 0 1 0 1 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"married" 0 0 0 0 0 1 4 0 0 2 8 0 0 0 0 0 1 0 4 0 2 6 1 1 0 2 0 1 1 0 4 6 1 2 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 0 2 2 9 1 2 0 1 1 2 0 1 0 0 1 0 0 1 1 0 4 2 0 2 0 1 1 0 0 0 0 0 1 0 1 3 3 2 0 0 0 1 1 0 0 0 0 0 0 0 2 5 0 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 0
"mighty" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"minded" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"modest" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 0 0
"moral" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"natural" 0 1 0 1 0 1 9 0 1 5 10 0 0 2 3 3 3 1 8 0 9 10 1 1 2 0 1 3 4 0 5 6 2 5 2 0 1 0 1 3 7 4 8 0 1 0 2 1 0 0 2 2 5 1 2 9 1 20 1 1 3 1 1 2 2 10 0 1 2 4 0 1 1 0 0 1 0 1 1 6 4 1 0 4 1 0 2 0 0 9 7 4 1 1 1 1 0 1 1 3 2 0 0 0 11 11 0 0 1 2 1 6 0 1 3 2 6 1 0 0 0 0 0
"neat" 0 0 0 0 1 0 2 0 1 1 4 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 0 1 0 1 0 0 1 0 5 1 1 0 0 0 1 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 3 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"obliged" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"original" 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"playful" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"pleasant" 0 1 1 0 0 0 7 0 0 3 9 0 0 0 0 1 1 1 8 0 5 6 0 0 0 0 1 1 2 1 5 6 5 10 1 1 0 0 0 1 1 1 2 2 1 0 1 0 0 2 5 2 4 0 0 6 1 17 1 2 2 0 3 1 2 4 2 0 1 1 1 0 1 0 6 0 2 1 1 0 3 2 0 2 0 0 1 2 0 4 4 4 0 0 6 1 1 0 0 0 1 0 1 0 4 8 1 1 0 1 0 4 1 0 4 3 4 0 0 0 0 1 0
"pleasing" 0 0 0 0 1 2 3 0 3 5 5 0 1 0 1 1 1 2 6 1 2 3 1 2 0 1 0 0 3 0 1 3 1 4 0 1 0 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 4 0 1 4 0 9 0 0 0 0 2 0 1 3 0 0 0 1 0 1 0 1 4 2 0 1 0 3 0 0 0 0 0 1 0 0 1 3 3 3 0 0 0 0 0 0 0 1 3 0 0 1 4 5 0 1 2 0 0 0 1 0 1 0 2 0 0 0 0 0 0
"polite" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"popular" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"powerful" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 3 2 0 0 0 0 0 0
"professional" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"profitable" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"proud" 0 1 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 1 0 0 1 0 0 1 2 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"prudent" 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"qualified" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"quiet" 1 0 0 0 0 0 7 0 0 4 7 0 0 2 2 1 0 0 3 0 1 5 0 1 1 0 1 0 2 0 4 7 0 4 0 0 1 0 1 1 1 2 4 1 1 1 2 1 0 1 1 0 3 1 0 4 0 14 2 1 0 0 1 2 0 3 0 0 1 3 1 0 0 0 9 2 0 0 0 4 3 0 0 0 1 0 2 0 0 0 4 1 0 0 2 0 0 1 1 2 0 0 0 1 9 3 0 1 1 2 1 3 1 1 3 0 5 0 2 0 1 0 0
"reasonable" 0 1 0 0 0 0 3 0 0 1 5 0 0 0 0 1 0 1 3 0 1 4 3 1 1 1 0 1 1 0 2 3 1 2 1 0 0 0 1 0 4 2 3 0 1 0 2 0 0 1 1 0 1 1 1 4 1 7 1 1 1 1 0 1 0 3 0 0 1 3 0 2 0 0 7 1 1 1 0 4 3 1 0 0 0 0 1 0 1 4 0 3 0 0 1 0 0 1 0 3 1 0 0 0 5 5 0 0 0 1 1 4 0 0 2 0 3 0 0 0 0 0 1
"rich" 0 0 0 0 1 0 5 0 0 3 7 0 0 0 0 1 0 0 2 0 1 5 1 1 1 0 0 0 2 1 1 2 4 4 0 0 0 1 1 0 1 0 2 0 1 0 1 0 0 1 1 1 3 0 1 1 0 4 1 2 1 0 1 2 2 2 1 0 1 2 0 1 1 0 4 3 0 0 1 4 3 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 0 0 1 1 1 1 0 2 0 1 0 0 0 0 0 0
"richest" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sacred" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"safe" 0 0 0 0 0 0 7 1 0 1 2 0 0 0 0 0 0 0 2 0 1 3 1 1 0 0 0 0 0 0 2 3 1 8 1 0 0 0 0 2 2 2 1 0 0 0 0 1 0 0 5 0 0 1 0 1 1 10 0 0 3 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 6 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 2 1 1 0 0 0 0 0 0 2 2 0 0 0 0 0 1 1 0 1 2 3 0 0 0 0 0 1
"safer" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 1 3 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0
"secure" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 1 0 0 3 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"selfish" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"shocked" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sincere" 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
"social" 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 1 3 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"spontaneous" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"stable" 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
