"" "#-afraid" "#-beautiful" "#-capable" "#-cheerful" "#-happy" "#-proud" "#-suited" "#-worth" "accomplished" "accustomed" "afraid" "amusing" "appropriate" "artistic" "beautiful" "best" "bible" "blessed" "bored" "brave" "calm" "capable" "capital" "careful" "charitable" "cheerful" "clean" "clever" "comfortable" "compassionate" "competent" "confident" "conventional" "cruel" "curious" "damned" "dangerous" "daring" "defensive" "delicate" "delicious" "delight" "delighted" "delightful" "determined" "different" "direct" "dominant" "encouraged" "encouraging" "enthusiastic" "exciting" "expensive" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "fascinating" "forbidden" "forgiving" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "greed" "greedy" "happier" "happy" "harmless" "heavenly" "helpful" "honest" "humble" "improper" "independent" "individual" "influential" "intellectual" "interesting" "jest" "learned" "legal" "legitimate" "liberal" "loose" "loyal" "married" "mature" "mighty" "minded" "modest" "moral" "mysterious" "natural" "neat" "novel" "obliged" "official" "original" "outrageous" "passionate" "peaceful" "playful" "pleasant" "pleasing" "polite" "popular" "potential" "powerful" "professional" "profitable" "proud" "prudent" "qualified" "quiet" "reasonable" "religious" "responsible" "rich" "sacred" "safe" "scared" "selfish" "shocked" "sincere" "smart" "social" "special" "stable" "strong" "succeeding" "superior" "surprising" "sympathetic" "thoughtful" "threatening" "top" "trusted" "uncertain" "united" "weak" "welcome" "wise" "universal" "worth" "unpleasant" "newest" "suited" "secure" "subordinate" "safer" "weaker"
"defensive" 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"delicate" 0 0 0 0 1 1 0 0 0 1 5 0 0 0 5 7 0 1 0 0 3 1 0 0 0 1 0 0 1 0 0 0 1 2 1 0 0 0 0 0 0 0 2 3 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 2 1 0 1 0 1 1 9 0 0 0 1 1 0 0 0 0 0 1 0 2 1 0 0 0 0 3 0 0 2 0 1 1 3 0 0 0 0 3 0 1 0 0 3 0 1 1 0 0 0 0 1 0 1 4 0 1 0 1 1 0 0 0 0 0 0 0 0 1 4 0 2 0 0 3 0 1 0 1 0 3 4 2 0 1 0 0 0 0 0 0 0
"delicious" 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 2 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 3 1 0 1 2 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 4 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 0 3 0 0 0 0 1 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"delight" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"delighted" 0 0 0 0 0 0 0 0 0 0 10 0 0 0 5 10 0 0 0 1 2 4 1 2 0 5 0 2 2 0 1 0 0 1 2 0 0 0 0 2 1 1 0 4 0 3 0 0 0 1 0 0 0 5 1 1 1 2 1 0 0 0 0 1 3 1 3 1 0 1 0 0 3 15 0 0 0 3 1 0 0 1 0 0 2 2 1 2 0 0 2 0 3 0 1 0 1 0 3 8 3 0 0 1 1 1 0 1 0 7 0 1 0 0 0 2 0 4 1 0 3 0 1 0 2 4 1 1 2 0 0 0 1 0 0 2 0 3 0 0 2 0 4 0 0 0 2 4 2 1 4 0 0 0 0 1 0 0
"delightful" 0 1 0 0 0 0 0 0 1 1 7 0 1 0 7 6 1 1 1 0 2 0 1 2 0 3 1 0 1 0 0 0 0 2 2 0 0 0 1 3 3 0 4 0 0 2 1 0 0 0 0 0 0 2 1 1 1 3 3 0 2 0 0 1 2 1 1 0 2 1 0 0 2 14 0 0 0 4 0 0 2 1 0 0 1 1 0 0 0 0 1 0 3 0 0 1 0 1 3 8 0 1 0 0 0 0 3 0 0 8 0 1 0 0 0 2 0 4 0 1 3 2 1 0 1 1 0 1 3 1 0 0 0 0 1 3 0 3 2 0 0 0 1 0 1 0 2 2 1 0 3 0 0 0 1 0 0 0
"determined" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0
"different" 0 0 0 0 0 0 0 0 0 1 17 0 2 0 8 15 0 3 0 0 4 1 0 0 1 5 0 1 3 1 0 2 0 4 3 0 0 1 0 2 0 1 3 2 1 0 0 0 0 0 0 0 2 4 0 3 4 7 3 1 3 0 0 2 4 1 7 0 0 3 0 0 3 15 0 1 0 3 0 0 0 0 0 1 1 1 0 0 0 0 0 0 3 0 2 0 4 1 2 9 2 0 1 0 0 0 1 2 1 5 0 1 0 1 1 0 0 7 0 2 7 2 0 2 1 2 1 0 1 0 1 0 0 2 1 8 0 3 0 0 3 0 1 0 1 0 0 2 0 2 1 0 0 1 0 0 0 0
"direct" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"dominant" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"encouraged" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"encouraging" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"enthusiastic" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"exciting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"expensive" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"extraordinary" 0 0 0 0 0 0 0 0 0 2 9 0 0 0 3 8 0 2 0 1 2 1 1 0 0 3 2 1 4 0 0 0 0 3 1 0 0 0 0 1 3 0 5 2 0 4 0 0 0 0 0 0 0 0 1 1 1 5 2 0 1 0 0 2 2 0 5 0 0 3 0 0 4 9 0 0 0 3 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 3 0 0 0 0 6 1 0 0 1 4 0 0 0 1 5 0 0 0 0 0 3 0 4 0 1 7 2 0 0 2 3 1 0 2 0 1 0 2 1 0 6 0 1 0 0 2 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0
"extreme" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"fair" 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 7 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 1 0 0 0 2 1 1 0 0 0 1 2 1 3 0 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 6 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 4 2 0 0 1 1 3 0 1 0 0 0 1 0 1 6 0 1 0 0 2 0 1 0 0 0 0 2 1 0 1 1 0 0 0 0 0 0
"faithful" 0 0 0 0 0 0 0 0 0 0 3 0 0 0 4 4 0 1 0 1 0 0 0 1 0 1 0 2 0 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 0 4 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 1 1 1 1 3 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 1 3 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 4 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0
"familiar" 0 1 0 0 0 0 0 0 1 1 8 0 1 0 5 7 0 0 0 0 5 0 0 1 0 5 2 0 2 1 0 0 0 1 2 0 0 1 0 0 2 0 2 3 0 7 0 0 0 0 0 0 1 5 0 2 1 0 1 2 0 0 0 3 4 1 3 0 0 1 0 0 1 9 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 2 5 3 2 1 0 1 0 0 0 0 4 0 0 2 1 0 2 0 3 0 0 9 1 1 0 1 0 1 0 0 0 0 0 0 2 1 7 0 1 0 0 1 0 0 0 2 0 1 2 0 0 0 1 0 0 1 0 0 0
"famous" 0 1 0 0 0 0 0 0 1 0 3 0 0 0 1 3 0 0 0 1 1 1 0 1 0 4 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 3 0 3 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 2 2 0 1 0 0 0 0 1 1 3 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 1 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 3 1 1 3 1 0 0 0 0 0 0 2 0 1 0 0 2 0 4 0 1 0 0 2 0 2 0 0 1 1 3 0 0 1 0 0 0 0 0 0 0
"fancy" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"fascinating" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 2 0 3 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"forbidden" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"forgiving" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"free" 0 0 0 0 1 0 0 0 0 1 5 0 1 0 3 4 0 1 0 1 0 0 0 1 0 2 0 1 2 0 0 2 1 2 1 0 0 0 0 0 2 0 1 1 1 2 0 0 1 0 1 0 0 2 1 1 1 3 2 0 0 0 0 0 1 3 2 0 0 0 0 0 2 9 0 0 0 2 2 0 0 1 1 0 0 0 0 3 0 0 0 0 1 0 2 0 0 0 3 5 2 1 0 0 0 0 2 0 0 4 0 0 1 0 0 2 1 1 0 0 5 1 1 0 0 1 1 0 0 0 0 1 0 1 1 6 0 1 1 0 2 1 0 0 2 0 3 0 0 0 1 0 0 0 0 0 0 0
"friendly" 0 0 1 0 0 0 0 0 0 1 13 0 0 0 6 10 0 0 1 0 3 0 0 1 0 2 1 0 4 1 0 1 0 2 3 0 1 0 0 1 1 0 3 2 0 4 0 0 0 0 0 0 0 2 3 2 1 4 2 0 0 0 0 1 0 0 4 0 0 1 0 0 1 14 0 0 0 0 2 0 0 2 0 0 0 0 0 4 0 0 1 0 1 0 0 0 1 0 1 5 0 0 1 1 1 1 0 0 0 7 0 0 0 0 1 1 0 3 1 0 4 0 0 1 0 1 1 0 2 1 0 0 0 0 2 6 0 4 0 0 5 0 1 0 0 1 0 2 1 1 1 0 0 0 0 1 0 0
"generous" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 5 0 0 0 1 1 0 0 0 0 0 0 2 1 1 0 0 0 3 1 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 4 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0
"gentle" 0 0 0 0 1 0 0 0 0 1 13 0 1 0 6 12 0 2 0 2 6 2 0 3 0 3 2 3 3 4 0 1 0 1 2 0 1 0 0 2 0 0 3 1 1 7 0 0 0 0 0 0 0 5 0 3 3 3 1 1 1 0 1 2 4 1 0 0 0 0 0 0 2 12 0 0 0 3 3 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 3 0 0 7 2 0 2 0 2 0 1 2 1 5 0 1 0 0 0 1 0 3 0 0 11 0 1 0 1 3 0 0 0 0 0 0 0 0 1 3 0 1 0 0 4 0 1 0 3 0 2 2 0 1 1 1 0 0 0 0 0 0
"genuine" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"graceful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"greatest" 0 0 0 0 0 0 0 0 0 2 2 0 0 1 3 3 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 1 1 0 0 1 1 0 3 0 0 0 0 0 0 0 3 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 2 0 1 0 1 0 0 0 0 4 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"greed" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"greedy" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"happier" 0 0 0 0 0 0 0 0 0 1 6 0 0 0 2 5 0 0 0 0 3 0 0 0 0 3 0 3 0 1 0 1 0 2 0 0 0 0 0 1 0 0 3 2 0 3 0 0 0 0 0 0 0 4 1 0 1 1 1 0 0 0 0 2 1 0 2 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 4 1 0 0 0 2 0 0 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 2 0 1 1 0 1 0 1 2 1 1 0 0 0 0 0
"happy" 0 0 0 0 0 0 1 1 0 6 28 0 1 0 23 32 1 3 1 3 9 5 2 5 0 13 1 5 8 3 0 2 2 6 5 0 0 0 2 9 4 1 15 14 1 15 1 0 1 1 0 0 1 9 2 2 2 9 3 0 2 0 1 9 14 4 12 2 1 3 0 0 7 0 0 2 0 8 2 1 1 4 2 0 3 2 0 6 1 1 3 0 11 0 1 0 4 2 4 20 3 1 1 4 5 1 1 1 0 19 1 5 1 0 2 7 1 14 2 3 25 0 3 0 3 5 5 0 1 0 1 0 2 0 4 23 0 3 1 1 7 1 4 0 1 1 5 6 4 2 10 0 1 2 0 1 0 0
"harmless" 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"heavenly" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"helpful" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"honest" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 4 4 0 1 0 0 1 1 0 1 0 2 0 0 5 0 0 1 0 3 0 0 0 0 0 1 1 0 3 4 1 3 0 0 0 0 0 0 0 3 1 2 0 1 2 0 0 0 0 2 0 1 3 0 0 3 0 0 0 8 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 3 1 0 0 0 1 0 0 0 1 5 0 1 0 0 0 1 0 2 0 1 3 0 1 0 0 0 0 0 2 0 2 0 0 0 0 5 0 2 0 0 1 0 1 0 1 1 1 1 0 0 2 2 0 0 0 0 0 0
"humble" 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 3 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0
